ID;Number;Nationwide number;Name;Original name;Sex;Year of birth;Nationality;Military/Civilian;Selection;Year of Selection;mission number;total number of missions;Occupation;Year of mission;Mission title;Ascend shuttle;In orbit;Descend shuttle;Hours/mission;Total hrs (sum);Field21;EVA hrs/mission;Total EVA hrs
292;142;73;Nelson, George D.;Nelson, George D.;M;1950;U.S.;Civ;NASA-8;1978;1;3;MSP;1984;STS-41C;STS-41C;STS-41C;STS-41C;168;411;2;10,1;10,1
293;142;73;Nelson, George D.;Nelson, George D.;M;1950;U.S.;Civ;NASA-8;1978;2;3;MSP;1986;STS-61C;STS-61C;STS-61C;STS-61C;146;411;0;0;10,1
294;142;73;Nelson, George D.;Nelson, George D.;M;1950;U.S.;Civ;NASA-8;1978;3;3;MSP;1988;STS-26;STS-26;STS-26;STS-26;97;411;0;0;10,1
295;143;58;Volk, Igor;Игорь Петрович Волк;M;1937;U.S.S.R/Russia;Mil;LII-1;1977;1;1;MSP;1984;Salyut 7;Soyuz T;Salyut 7;Soyuz T;283;283,23;0;0;0
296;144;74;Coats, Michael L.;Coats, Michael L.;M;1952;U.S.;Mil;NASA- 8;1978;1;3;pilot;1984;STS-41-D;STS-41-D;STS-41-D;STS-41-D;145;464;0;0;0
297;144;74;Coats, Michael L.;Coats, Michael L.;M;1952;U.S.;Mil;NASA- 8;1978;2;3;commander;1989;STS-29;STS-29;STS-29;STS-29;120;464;0;0;0
298;144;74;Coats, Michael L.;Coats, Michael L.;M;1952;U.S.;Mil;NASA- 8;1978;3;3;commander;1991;STS-39;STS-39;STS-39;STS-39;199;464;0;0;0
299;145;75;Mullane, Richard M.;Mullane, Richard M.;M;1945;U.S.;Mil;NASA-8;1978;1;3;MSP;1984;STS-41D;STS-41D;STS-41D;STS-41D;145;356;0;0;0
300;145;75;Mullane, Richard M.;Mullane, Richard M.;M;1945;U.S.;Mil;NASA-8;1978;2;3;MSP;1988;STS-27;STS-27;STS-27;STS-27;105;356;0;0;0
301;145;75;Mullane, Richard M.;Mullane, Richard M.;M;1945;U.S.;Mil;NASA-8;1978;3;3;MSP;1990;STS-36;STS-36;STS-36;STS-36;106;356;0;0;0
302;146;76;Hawley, Steven A.;Hawley, Steven A.;M;1951;U.S.;Civ;NASA Astronaut Group 8;1978;1;5;MSP;1984;STS-41-D;STS-41-D;STS-41-D;STS-41-D;144;768;0;0;0
303;146;76;Hawley, Steven A.;Hawley, Steven A.;M;1951;U.S.;Civ;NASA Astronaut Group 8;1978;2;5;MSP;1986;STS-61-C;STS-61-C;STS-61-C;STS-61-C;146;768;0;0;0
304;146;76;Hawley, Steven A.;Hawley, Steven A.;M;1951;U.S.;Civ;NASA Astronaut Group 8;1978;3;5;MSP;1990;STS-31;STS-31;STS-31;STS-31;121;768;0;0;0
305;146;76;Hawley, Steven A.;Hawley, Steven A.;M;1951;U.S.;Civ;NASA Astronaut Group 8;1978;4;5;MSP;1997;STS-82;STS-82;STS-82;STS-82;239;768;0;0;0
306;146;76;Hawley, Steven A.;Hawley, Steven A.;M;1951;U.S.;Civ;NASA Astronaut Group 8;1978;5;5;MSP;1999;STS-93;STS-93;STS-93;STS-93;118;768;0;0;0
307;147;77;Resnik, Judith A.;Resnik, Judith A.;F;1949;U.S.;Civ;NASA-8;1978;1;2;MSP;1984;STS-41-D;STS-41-D;STS-41-D;STS-41-D;144;144;0;0;0
308;147;77;Resnik, Judith A.;Resnik, Judith A.;F;1949;U.S.;Civ;NASA-9;1978;2;2;MSP;1985;STS-51-L;STS-51-L;explosion;explosion;0;144;0;0;0
309;148;78;Walker, Charles David;Walker, Charles David;M;1948;U.S.;Civ;PS;1983;1;3;PSP;1984;STS-41D;STS-41D;STS-41D;STS-41D;144,98;478,29;0;0;0
310;148;78;Walker, Charles David;Walker, Charles David;M;1948;U.S.;Civ;PS;1983;2;3;PSP;1985;STS-51D;STS-51D;STS-51D;STS-51D;168,15;478,29;0;0;0
311;148;78;Walker, Charles David;Walker, Charles David;M;1948;U.S.;Civ;PS;1983;3;3;PSP;1985;STS-61B;STS-61B;STS-61B;STS-61B;165,16;478,29;0;0;0
312;149;79;McBride, Jon A.;McBride, Jon A.;M;1943;U.S.;Mil;NASA- 8;1978;1;1;pilot;1984;STS-41-G;STS-41-G;STS-41-G;STS-41-G;197;197;0;0;0
313;150;80;Sullivan, Kathryn D.;Sullivan, Kathryn D.;F;1951;U.S.;Civ;1978 NASA group;1978;1;3;MSP;1984;STS-41-G;STS-41-G;STS-41-G;STS-41-G;197,5;532;1;3,45;3,45
314;150;80;Sullivan, Kathryn D.;Sullivan, Kathryn D.;F;1951;U.S.;Civ;1978 NASA group;1978;2;3;MSP;1990;STS-31;STS-31;STS-31;STS-31;121;532;0;0;3,45
315;150;80;Sullivan, Kathryn D.;Sullivan, Kathryn D.;F;1951;U.S.;Civ;1978 NASA group;1978;3;3;MSP;1992;STS-45;STS-45;STS-45;STS-45;213,5;532;0;0;3,45
316;151;81;Leestma, David C.;Leestma, David C.;M;1949;U.S.;Mil;NASA- 9;1980;1;3;MSP;1984;STS-41-G;STS-41-G;STS-41-G;STS-41-G;197;532;1;1;3,5
317;151;81;Leestma, David C.;Leestma, David C.;M;1949;U.S.;Mil;NASA- 9;1980;2;3;MSP;1989;STS-28;STS-28;STS-28;STS-28;121;532;0;0;3,5
318;151;81;Leestma, David C.;Leestma, David C.;M;1949;U.S.;Mil;NASA- 9;1980;3;3;MSP;1992;STS-45;STS-45;STS-45;STS-45;214;532;0;0;3,5
319;152;82;Scully-Power, Paul Desmond;Scully-Power, Paul Desmond;M;1944;U.S.;Civ;PS;1984;1;1;PSP;1984;STS-41-G;STS-41-G;STS-41-G;STS-41-G;197,67;197,67;0;0;0
320;153;1;Garneau, Marc Joseph Jean-Pierre;Garneau, Marc Joseph Jean-Pierre;M;1949;Canada;Mil;1983 NRC Group;1983;1;3;PSP;1984;STS-41-G;STS-41-G;STS-41-G;STS-41-G;197;697,67;0;0;0
321;153;1;Garneau, Marc Joseph Jean-Pierre;Garneau, Marc Joseph Jean-Pierre;M;1949;Canada;Mil;1983 NRC Group;1983;2;3;MSP;1996;STS-77;STS-77;STS-77;STS-77;240,67;697,67;0;0;0
322;153;1;Garneau, Marc Joseph Jean-Pierre;Garneau, Marc Joseph Jean-Pierre;M;1949;Canada;Mil;1983 NRC Group;1983;3;3;MSP;2000;STS-97;STS-97;STS-97;STS-97;260;697,67;0;0;0
323;154;83;Walker, David Mathieson;Walker, David Mathieson;M;1944;U.S.;Mil;1978 NASA group 8;1978;1;4;pilot;1984;STS-51-A;STS-51-A;STS-51-A;STS-51-A;191;724,45;0;0;0
324;154;83;Walker, David Mathieson;Walker, David Mathieson;M;1944;U.S.;Mil;1978 NASA group 8;1978;2;4;commander;1989;STS-30;STS-30;STS-30;STS-30;96;724,45;0;0;0
325;154;83;Walker, David Mathieson;Walker, David Mathieson;M;1944;U.S.;Mil;1978 NASA group 8;1978;3;4;commander;1992;STS-53;STS-53;STS-53;STS-53;175;724,45;0;0;0
326;154;83;Walker, David Mathieson;Walker, David Mathieson;M;1944;U.S.;Mil;1978 NASA group 8;1978;4;4;commander;1995;STS-69;STS-69;STS-69;STS-69;44;724,45;0;0;0
327;155;84;Fisher, Anna L.;Fisher, Anna L.;F;1949;U.S.;Civ;NASA- 8;1978;1;1;MSP;1984;STS-51-A;STS-51-A;STS-51-A;STS-51-A;191;191;0;0;0
328;156;85;Shriver, Loren J.;Shriver, Loren J.;M;1944;U.S.;Mil;1978 NASA group;1978;1;3;pilot;1985;STS-51-C;STS-51-C;STS-51-C;STS-51-C;73,5;386;0;0;0
329;156;85;Shriver, Loren J.;Shriver, Loren J.;M;1944;U.S.;Mil;1978 NASA group;1978;2;3;commander;1990;STS-31;STS-31;STS-31;STS-31;121;386;0;0;0
330;156;85;Shriver, Loren J.;Shriver, Loren J.;M;1944;U.S.;Mil;1978 NASA group;1978;3;3;commander;1992;STS-46;STS-46;STS-46;STS-46;191;386;0;0;0
331;157;86;Onizuka, Ellison S.;Onizuka, Ellison S.;M;1946;U.S.;Mil;NASA-8;1978;1;2;MSP;1985;STS 51-C;STS 51-C;STS 51-C;STS 51-C;74;74;0;0;0
332;157;86;Onizuka, Ellison S.;Onizuka, Ellison S.;M;1946;U.S.;Mil;NASA-8;1978;2;2;MSP;1986;STS 51-L;STS 51-L;explosion;explosion;0;74;0;0;0
333;158;87;Buchli, James F.;Buchli, James F.;M;1945;U.S.;Mil;NASA- 8;1978;1;4;MSP;1985;STS-51-C;STS-51-C;STS-51-C;STS-51-C;73,5;490;0;0;0
334;158;87;Buchli, James F.;Buchli, James F.;M;1945;U.S.;Mil;NASA- 8;1978;2;4;MSP;1985;STS-61-A;STS-61-A;STS-61-A;STS-61-A;168;490;0;0;0
335;158;87;Buchli, James F.;Buchli, James F.;M;1945;U.S.;Mil;NASA- 8;1978;3;4;MSP;1989;STS-29;STS-29;STS-29;STS-29;120;490;0;0;0
336;158;87;Buchli, James F.;Buchli, James F.;M;1945;U.S.;Mil;NASA- 8;1978;4;4;MSP;1991;STS-48;STS-48;STS-48;STS-48;128,5;490;0;0;0
337;159;88;Payton, Gary Eugene;Payton, Gary Eugene;M;1948;U.S.;Mil;1979 USAF group;1979;1;1;PSP;1985;STS-51C;STS-51C;STS-51C;STS-51C;73,675;73,675;0;0;0
338;160;89;Williams, Donald E.;Williams, Donald E.;M;1942;U.S.;Mil;1981 NASA group 8;1978;1;2;pilot;1985;STS-51-D;STS-51-D;STS-51-D;STS-51-D;167;286;0;0;0
339;160;89;Williams, Donald E.;Williams, Donald E.;M;1942;U.S.;Mil;1981 NASA group 8;1978;2;2;commander;1989;STS-34;STS-34;STS-34;STS-34;119;286;0;0;0
340;161;90;Seddon, Margaret Rhea;Seddon, Margaret Rhea;F;1947;U.S.;Civ;NASA-8;1978;1;3;MSP;1985;STS-51-D;STS-51-D;STS-51-D;STS-51-D;168;722;0;0;0
341;161;90;Seddon, Margaret Rhea;Seddon, Margaret Rhea;F;1947;U.S.;Civ;NASA-8;1978;2;3;MSP;1991;STS-40;STS-40;STS-40;STS-40;218;722;0;0;0
342;161;90;Seddon, Margaret Rhea;Seddon, Margaret Rhea;F;1947;U.S.;Civ;NASA-8;1978;3;3;MSP;1993;STS-58;STS-58;STS-58;STS-58;336;722;0;0;0
343;162;91;Griggs, S. David;Griggs, S. David;M;1947;U.S.;Civ;NASA Astronaut Group 8;1978;1;1;MSP;1985;STS-51-D;STS-51-D;STS-51-D;STS-51-D;168;168;1;3,17;3,17
344;163;92;Hoffman, Jeffrey A.;Hoffman, Jeffrey A.;M;1944;U.S.;Civ;NASA- 8;1978;1;5;MSP;1985;STS-51-D;STS-51-D;STS-51-D;STS-51-D;167;1211,9;1;3,17;25,2
345;163;92;Hoffman, Jeffrey A.;Hoffman, Jeffrey A.;M;1944;U.S.;Civ;NASA- 8;1978;2;5;MSP;1990;STS-35;STS-35;STS-35;STS-35;215;1211,9;0;0;25,2
346;163;92;Hoffman, Jeffrey A.;Hoffman, Jeffrey A.;M;1944;U.S.;Civ;NASA- 8;1978;3;5;MSP;1992;STS-46;STS-46;STS-46;STS-46;191;1211,9;0;0;25,2
347;163;92;Hoffman, Jeffrey A.;Hoffman, Jeffrey A.;M;1944;U.S.;Civ;NASA- 8;1978;4;5;MSP;1993;STS-61;STS-61;STS-61;STS-61;259;1211,9;3;22,03;25,2
348;163;92;Hoffman, Jeffrey A.;Hoffman, Jeffrey A.;M;1944;U.S.;Civ;NASA- 8;1978;5;5;MSP;1996;STS-75;STS-75;STS-75;STS-75;377;1211,9;0;0;25,2
349;164;93;Garn, Edwin Jacob;Garn, Edwin Jacob;M;1932;U.S.;Mil;PS;1985;1;1;PSP;1985;STS-51D;STS-51D;STS-51D;STS-51D;168,15;168,15;0;0;0
350;165;94;Gregory, Frederick D.;Gregory, Frederick D.;M;1941;U.S.;Mil;NASA Astronaut Group 8;1978;1;3;pilot;1985;STS-51-B;STS-51-B;STS-51-B;STS-51-B;168;455;0;0;0
351;165;94;Gregory, Frederick D.;Gregory, Frederick D.;M;1941;U.S.;Mil;NASA Astronaut Group 8;1978;2;3;commander;1989;STS-33;STS-33;STS-33;STS-33;120;455;0;0;0
352;165;94;Gregory, Frederick D.;Gregory, Frederick D.;M;1941;U.S.;Mil;NASA Astronaut Group 8;1978;3;3;commander;1991;STS-44;STS-44;STS-44;STS-44;166;455;0;0;0
353;166;95;Lind, Don L.;Lind, Don L.;M;1930;U.S.;Mil;NASA- 5;1966;1;1;MSP;1985;STS-51-B;STS-51-B;STS-51-B;STS-51-B;168;168;0;0;0
354;167;96;Lodewijk, van der Berg;Lodewijk, van der Berg;M;1932;U.S.;Civ;PS;1983;1;1;PSP;1985;Spacelab-3;STS-51-B;STS-51-B;STS-51-B;168,525;168,525;0;0;0
355;168;97;Wang, Taylor Gun-Jin;王赣骏;M;1940;U.S.;Civ;Spacelab-3 mission payload specialist;1984;1;1;PSP;1985;spacelab-3;STS-51B;STS-51B;STS-51B;168,525;168,525;0;0;0
356;169;98;Creighton, John O.;Creighton, John O.;M;1943;U.S.;Mil;NASA- 8;1978;1;3;pilot;1985;STS-51-G;STS-51-G;STS-51-G;STS-51-G;170;404;0;0;0
357;169;98;Creighton, John O.;Creighton, John O.;M;1943;U.S.;Mil;NASA- 8;1978;2;3;commander;1990;STS-36;STS-36;STS-36;STS-36;106;404;0;0;0
358;169;98;Creighton, John O.;Creighton, John O.;M;1943;U.S.;Mil;NASA- 8;1978;3;3;commander;1991;STS-48;STS-48;STS-48;STS-48;128;404;0;0;0
359;170;99;Nagel, Steven R.;Nagel, Steven R.;M;1946;U.S.;Mil;NASA-8;1978;1;4;MSP;1985;STS-51G;STS-51G;STS-51G;STS-51G;170;522;0;0;0
360;170;99;Nagel, Steven R.;Nagel, Steven R.;M;1946;U.S.;Mil;NASA-8;1978;2;4;pilot;1985;STS-61A;STS-61A;STS-61A;STS-61A;169;522;0;0;0
361;170;99;Nagel, Steven R.;Nagel, Steven R.;M;1946;U.S.;Mil;NASA-8;1978;3;4;commander;1991;STS-37;STS-37;STS-37;STS-37;143;522;0;0;0
362;170;99;Nagel, Steven R.;Nagel, Steven R.;M;1946;U.S.;Mil;NASA-8;1978;4;4;commander;1993;STS-55;STS-55;STS-55;STS-55;240;522;0;0;0
363;171;100;Lucid, Shannon W.;Lucid, Shannon W.;F;1943;U.S.;Civ;NASA- 8;1978;1;5;MSP;1985;STS-51-G;STS-51-G;STS-51-G;STS-51-G;169;5353;0;0;0
364;171;100;Lucid, Shannon W.;Lucid, Shannon W.;F;1943;U.S.;Civ;NASA- 8;1978;2;5;MSP;1989;STS-34;STS-34;STS-34;STS-34;119;5353;0;0;0
365;171;100;Lucid, Shannon W.;Lucid, Shannon W.;F;1943;U.S.;Civ;NASA- 8;1978;3;5;MSP;1991;STS-43;STS-43;STS-43;STS-43;213;5353;0;0;0
366;171;100;Lucid, Shannon W.;Lucid, Shannon W.;F;1943;U.S.;Civ;NASA- 8;1978;4;5;MSP;1993;STS-58;STS-58;STS-58;STS-58;336;5353;0;0;0
367;171;100;Lucid, Shannon W.;Lucid, Shannon W.;F;1943;U.S.;Civ;NASA- 8;1978;5;5;MSP;1996;22;STS-79;Mir;STS-76;4516;5353;0;0;0
368;172;2;Baudry, Patrick;Baudry, Patrick;M;1946;France;Mil;CNES-1;1980;1;1;PSP;1985;STS-51G;STS-51G;STS-51G;STS-51G;169,63;169,63;0;0;0
369;173;1;Al-saud, Sultan bin Salman;;M;1956;Saudi Arabia;Civ;Saudi-Arabia;1985;1;1;PSP;1985;STS-51G;STS-51G;STS-51G;STS-51G;170;170;0;0;0
370;174;101;Bridges, Roy D., Jr.;Bridges, Roy D., Jr.;M;1943;U.S.;Mil;NASA- 9;1980;1;1;pilot;1985;STS-51-F;STS-51-F;STS-51-F;STS-51-F;190;190;0;0;0
371;175;102;Henize, Karl G.;Henize, Karl G.;M;1926;U.S.;Civ;NASA- 6;1967;1;1;MSP;1985;STS-51-F;STS-51-F;STS-51-F;STS-51-F;190;190,75;0;0;0
372;176;103;England, Anthony W.;England, Anthony W.;M;1942;U.S.;Civ;NASA- 6;1967;1;1;MSP;1985;STS-51-F;STS-51-F;STS-51-F;STS-51-F;190;190;0;0;0
373;177;104;Acton, Loren Wilbur;Acton, Loren Wilbur;M;1936;U.S.;Civ;PS for Spacelab-2;1978;1;1;PSP;1978;Spacelab-2;STS-51-F;STS-51-F;STS-51-F;190,94;190,94;0;0;0
374;178;105;Bartoe, John-David Francis;Bartoe, John-David Francis;M;1944;U.S.;Civ;PS for Spacelab-2;1978;1;1;PSP;1978;STS-51-F;STS-51-F;STS-51-F;STS-51-F;190,94;190,94;0;0;0
375;179;106;Covey, Richard O.;Covey, Richard O.;M;1946;U.S.;Mil;NASA- 8;1978;1;4;pilot;1985;STS-51-I;STS-51-I;STS-51-I;STS-51-I;170;645;0;0;0
376;179;106;Covey, Richard O.;Covey, Richard O.;M;1946;U.S.;Mil;NASA- 8;1978;2;4;pilot;1988;STS-26;STS-26;STS-26;STS-26;97;645;0;0;0
377;179;106;Covey, Richard O.;Covey, Richard O.;M;1946;U.S.;Mil;NASA- 8;1978;3;4;commander;1990;STS-38;STS-38;STS-38;STS-38;118;645;0;0;0
378;179;106;Covey, Richard O.;Covey, Richard O.;M;1946;U.S.;Mil;NASA- 8;1978;4;4;commander;1993;STS-61;STS-61;STS-61;STS-61;260;645;0;0;0
379;180;107;Lounge, John M.;Lounge, John M.;M;1946;U.S.;Civ;NASA- 9;1980;1;3;MSP;1985;STS-51-I;STS-51-I;STS-51-I;STS-51-I;170;482;0;0;0
380;180;107;Lounge, John M.;Lounge, John M.;M;1946;U.S.;Civ;NASA- 9;1980;2;3;MSP;1988;STS-26;STS-26;STS-26;STS-26;97;482;0;0;0
381;180;107;Lounge, John M.;Lounge, John M.;M;1946;U.S.;Civ;NASA- 9;1980;3;3;MSP;1990;STS-35;STS-35;STS-35;STS-35;215;482;0;0;0
382;181;108;Fisher, William F.;Fisher, William F.;M;1946;U.S.;Civ;NASA- 9;1980;1;1;MSP;1985;STS-51-I;STS-51-I;STS-51-I;STS-51-I;170;170;2;11,76;11,76
383;182;59;Vasyutin, Vladimir;Владимир Владимирович Васютин;M;1952;U.S.S.R/Russia;Mil;TsPK-6;1976;1;1;commander;1985;Salyut 7;Soyuz T;Salyut 7;Soyuz T;1557;1557,87;0;0;0
384;183;60;Volkov, Alexander;Александр Александрович Волков;M;1948;U.S.S.R/Russia;Mil;TsPK-6;1976;1;3;MSP;1985;Salyut 7;Soyuz T;Salyut 7;Soyuz T;1557;9395,87;0;0;10,2
385;183;60;Volkov, Alexander;Александр Александрович Волков;M;1948;U.S.S.R/Russia;Mil;TsPK-6;1976;2;3;MSP;1989;4;Soyuz TM;Mir;Soyuz TM;3635;9395,87;1;6;10,2
386;183;60;Volkov, Alexander;Александр Александрович Волков;M;1948;U.S.S.R/Russia;Mil;TsPK-6;1976;3;3;MSP;1992;10;Soyuz TM;Mir;Soyuz TM;4202;9395,87;1;4,2;10,2
387;184;109;Grabe, Ronald J.;Grabe, Ronald J.;M;1945;U.S.;Mil;NASA Astronaut Group 9;1980;1;4;pilot;1985;STS-51-J;STS-51-J;STS-51-J;STS-51-J;97,73;626,73;0;0;0
388;184;109;Grabe, Ronald J.;Grabe, Ronald J.;M;1945;U.S.;Mil;NASA Astronaut Group 10;1980;2;4;pilot;1989;STS-30;STS-30;STS-30;STS-30;97;626,73;0;0;0
389;184;109;Grabe, Ronald J.;Grabe, Ronald J.;M;1945;U.S.;Mil;NASA Astronaut Group 11;1980;3;4;commander;1992;STS-42;STS-42;STS-42;STS-42;193;626,73;0;0;0
390;184;109;Grabe, Ronald J.;Grabe, Ronald J.;M;1945;U.S.;Mil;NASA Astronaut Group 12;1980;4;4;commander;1993;STS-57;STS-57;STS-57;STS-57;239;626,73;0;0;0
391;185;110;Hilmers, David C.;Hilmers, David C.;M;1950;U.S.;Mil;NASA- 9;1980;1;4;MSP;1985;STS-51-J;STS-51-J;STS-51-J;STS-51-J;97;493;0;0;0
392;185;110;Hilmers, David C.;Hilmers, David C.;M;1950;U.S.;Mil;NASA- 10;1980;2;4;MSP;1988;STS-26;STS-26;STS-26;STS-26;97;493;0;0;0
393;185;110;Hilmers, David C.;Hilmers, David C.;M;1950;U.S.;Mil;NASA- 11;1980;3;4;MSP;1990;STS-36;STS-36;STS-36;STS-36;106;493;0;0;0
394;185;110;Hilmers, David C.;Hilmers, David C.;M;1950;U.S.;Mil;NASA- 12;1980;4;4;MSP;1992;STS-42;STS-42;STS-42;STS-42;193;493;0;0;0
395;186;111;Pailes, William Arthur;Pailes, William Arthur;M;1936;U.S.;Mil;USAF group;1982;1;1;PSP;1985;STS-51-J;STS-51-J;STS-51-J;STS-51-J;98,11;98,11;0;0;0
396;187;112;Dunbar, Bonnie J.;Dunbar, Bonnie J.;F;1949;U.S.;Civ;NASA- 9;1980;1;5;MSP;1985;STS-61-A;STS-61-A;STS-61-A;STS-61-A;168;1208;0;0;0
397;187;112;Dunbar, Bonnie J.;Dunbar, Bonnie J.;F;1949;U.S.;Civ;NASA- 9;1980;2;5;MSP;1990;STS-32;STS-32;STS-32;STS-32;261;1208;0;0;0
398;187;112;Dunbar, Bonnie J.;Dunbar, Bonnie J.;F;1949;U.S.;Civ;NASA- 9;1980;3;5;MSP;1992;STS-50;STS-50;STS-50;STS-50;331;1208;0;0;0
399;187;112;Dunbar, Bonnie J.;Dunbar, Bonnie J.;F;1949;U.S.;Civ;NASA- 9;1980;4;5;MSP;1995;STS-71;STS-71;STS-71;STS-71;235;1208;0;0;0
400;187;112;Dunbar, Bonnie J.;Dunbar, Bonnie J.;F;1949;U.S.;Civ;NASA- 9;1980;5;5;MSP;1998;STS-89;STS-89;STS-89;STS-89;211;1208;0;0;0
401;188;2;Furrer, Reinhard Alfred;Furrer, Reinhard Alfred;M;1940;Germany;Civ;DLR-1;1982;1;1;PSP;1985;STS-61A;STS-61A;STS-61A;STS-61A;168,73;168,73;0;0;0
402;189;3;Messerschmid, Ernst Willi;Messerschmid, Ernst Willi;M;1945;Germany;Mil;DLR-1;1982;1;1;PSP;1985;STS-61A;STS-61A;STS-61A;STS-61A;168,73;168,73;0;0;0
403;190;1;Ockels, Wubbo Johannes;Ockels, Wubbo Johannes;M;1946;Netherland;Civ;1978 ESA Group;1978;1;1;PSP;1985;STS-61-A;STS-61-A;STS-61-A;STS-61-A;168,73;168,73;0;0;0
404;191;113;O'Connor, Bryan D.;O'Connor, Bryan D.;M;1946;U.S.;Mil;NASA-9;1980;1;2;pilot;1985;STS-61B Atlantis;STS-61B Atlantis;STS-61B Atlantis;STS-61B Atlantis;165;386;0;0;0
405;191;113;O'Connor, Bryan D.;O'Connor, Bryan D.;M;1946;U.S.;Mil;NASA-9;1980;2;2;commander;1991;STS-40 Columbia;STS-40 Columbia;STS-40 Columbia;STS-40 Columbia;218;386;0;0;0
406;192;114;Ross, Jerry L.;Ross, Jerry L.;M;1948;U.S.;Mil;NASA-9;1980;1;7;MSP;1985;STS-61;STS-61;STS-61;STS-61;165;1393;2;12,2;58,53
407;192;114;Ross, Jerry L.;Ross, Jerry L.;M;1948;U.S.;Mil;NASA-9;1980;2;7;MSP;1988;STS-27;STS-27;STS-27;STS-27;105;1393;0;0;58,53
408;192;114;Ross, Jerry L.;Ross, Jerry L.;M;1948;U.S.;Mil;NASA-9;1980;3;7;MSP;1991;STS-37;STS-37;STS-37;STS-37;143;1393;2;10,58;58,53
409;192;114;Ross, Jerry L.;Ross, Jerry L.;M;1948;U.S.;Mil;NASA-9;1980;4;7;MSP;1993;STS-55;STS-55;STS-55;STS-55;239;1393;0;0;58,53
410;192;114;Ross, Jerry L.;Ross, Jerry L.;M;1948;U.S.;Mil;NASA-9;1980;5;7;MSP;1995;STS-74;STS-74;STS-74;STS-74;129;1393;1;7,24999999999999;58,53
411;192;114;Ross, Jerry L.;Ross, Jerry L.;M;1948;U.S.;Mil;NASA-9;1980;6;7;MSP;1998;STS-88;STS-88;STS-88;STS-88;283;1393;2;14,38;58,53
412;192;114;Ross, Jerry L.;Ross, Jerry L.;M;1948;U.S.;Mil;NASA-9;1980;7;7;MSP;2002;STS-110;STS-110;STS-110;STS-110;259;1393;2;14,12;58,53
413;193;115;Cleave, Mary L.;Cleave, Mary L.;F;1947;U.S.;Civ;NASA- 9;1980;1;2;MSP;1985;STS-30;STS-30;STS-30;STS-30;97;262;0;0;0
414;193;115;Cleave, Mary L.;Cleave, Mary L.;F;1947;U.S.;Civ;NASA- 9;1980;2;2;MSP;1989;STS-61-B;STS-61-B;STS-61-B;STS-61-B;165;262;0;0;0
415;194;116;Spring, Sherwood C.;Spring, Sherwood C.;M;1944;U.S.;Mil;1980 NASA group;1980;1;1;MSP;1985;STS-61-B;STS-61-B;STS-61-B;STS-61-B;165;165;2;12,17;12,17
416;195;1;Neri Vela, Rodolfl;;M;1952;Mexico;Civ;1985 NASA Group;1985;1;1;PSP;1985;STS-61-B;STS-61-B;STS-61-B;STS-61-B;165,07;165,67;0;0;0
417;196;117;Bolden, Charles F., Jr.;Bolden, Charles F., Jr.;M;1946;U.S.;Mil;NASA- 9;1980;1;4;pilot;1986;STS-61-C;STS-61-C;STS-61-C;STS-61-C;74;680;0;0;0
418;196;117;Bolden, Charles F., Jr.;Bolden, Charles F., Jr.;M;1946;U.S.;Mil;NASA- 9;1980;2;4;pilot;1990;STS-31;STS-31;STS-31;STS-31;121;680;0;0;0
419;196;117;Bolden, Charles F., Jr.;Bolden, Charles F., Jr.;M;1946;U.S.;Mil;NASA- 9;1980;3;4;commander;1992;STS-45;STS-45;STS-45;STS-45;214;680;0;0;0
420;196;117;Bolden, Charles F., Jr.;Bolden, Charles F., Jr.;M;1946;U.S.;Mil;NASA- 9;1980;4;4;commander;1994;STS-60;STS-60;STS-60;STS-60;199;680;0;0;0
421;197;118;Chang-Diaz, Franklin R.;Chang-Diaz, Franklin R.;M;1950;U.S.;Civ;NASA- 9;1980;1;7;MSP;1986;STS-61-C;STS-61-C;STS-61-C;STS-61-C;146;1601;0;0;19,52
422;197;118;Chang-Diaz, Franklin R.;Chang-Diaz, Franklin R.;M;1950;U.S.;Civ;NASA- 9;1980;2;7;MSP;1989;STS-34;STS-34;STS-34;STS-34;120;1601;0;0;19,52
423;197;118;Chang-Diaz, Franklin R.;Chang-Diaz, Franklin R.;M;1950;U.S.;Civ;NASA- 9;1980;3;7;MSP;1992;STS-46;STS-46;STS-46;STS-46;191;1601;0;0;19,52
424;197;118;Chang-Diaz, Franklin R.;Chang-Diaz, Franklin R.;M;1950;U.S.;Civ;NASA- 9;1980;4;7;MSP;1994;STS-60;STS-60;STS-60;STS-60;199;1601;0;0;19,52
425;197;118;Chang-Diaz, Franklin R.;Chang-Diaz, Franklin R.;M;1950;U.S.;Civ;NASA- 9;1980;5;7;MSP;1996;STS-75;STS-75;STS-75;STS-75;377;1601;0;0;19,52
426;197;118;Chang-Diaz, Franklin R.;Chang-Diaz, Franklin R.;M;1950;U.S.;Civ;NASA- 9;1980;6;7;MSP;1998;STS-91;STS-91;STS-91;STS-91;236;1601;0;0;19,52
427;197;118;Chang-Diaz, Franklin R.;Chang-Diaz, Franklin R.;M;1950;U.S.;Civ;NASA- 9;1980;7;7;MSP;2002;STS-111;STS-111;STS-111;STS-111;333;1601;3;19,52;19,52
428;198;119;Cenker, Robert Joseph;Cenker, Robert Joseph;M;1948;U.S.;Civ;PS by RCA;1985;1;1;PSP;1986;STS-61C;STS-61C;STS-61C;STS-61C;146,42;146,42;0;0;0
